Year,State_name,State_code,District_name,District_code,villages_surveyed,tot_pop,pop_male,pop_female,tot_hh,chc,phc,subcentre,subcentre_l1km,veterinary,veterinary_l1km,closed_drain,pucca_slab_drain,MAP_KEY
2019,JAMMU AND KASHMIR ,1,ANANTNAG ,1,506,1106470,579200,527270,176367,0.027667984,0.185770751,0.266798419,0.071146245,0.239130435,0.077075099,0.023715415,0.057312253,ANANTNAG
2019,JAMMU AND KASHMIR ,1,BADGAM ,2,520,805861,420700,385161,111089,0.026923077,0.455769231,0.213461538,0.009615385,0.801923077,0.001923077,0.001923077,0.044230769,BADGAM
2019,JAMMU AND KASHMIR ,1,BARAMULLA ,3,628,1155256,616036,539220,174729,0.027070064,0.164012739,0.267515924,0.041401274,0.256369427,0.01910828,0.001592357,0.030254777,BARAMULLA
2019,JAMMU AND KASHMIR ,1,DODA ,4,454,513303,273067,240236,108537,0.037444934,0.121145374,0.31277533,0.008810573,0.121145374,0.004405286,0.008810573,0.015418502,DODA
2019,JAMMU AND KASHMIR ,1,JAMMU ,5,913,1013853,539429,474424,213114,0.031763417,0.105147864,0.12924425,0.040525739,0.120481928,0.031763417,0.004381161,0.030668127,JAMMU
2019,JAMMU AND KASHMIR ,1,KATHUA ,7,552,603501,318755,284746,118424,0.016304348,0.114130435,0.266304348,0.032608696,0.168478261,0.047101449,0.009057971,0.014492754,KATHUA
2019,JAMMU AND KASHMIR ,1,KUPWARA ,8,560,1034576,543566,491010,152243,0.05,0.119642857,0.296428571,0.0625,0.196428571,0.044642857,0.010714286,0.021428571,KUPWARA
2019,JAMMU AND KASHMIR ,1,POONCH ,10,274,588723,308982,279741,122754,0.04379562,0.266423358,0.259124088,0.02189781,0.124087591,0.02919708,0.018248175,0.00729927,POONCH
2019,JAMMU AND KASHMIR ,1,PULWAMA ,11,350,541945,281006,260939,88566,0.048571429,0.2,0.205714286,0.034285714,0.382857143,0.017142857,0.025714286,0.037142857,PULWAMA
2019,JAMMU AND KASHMIR ,1,RAJAURI ,12,487,884300,467396,416904,182628,0.036960986,0.141683778,0.35523614,0.004106776,0.123203285,0.006160164,0.002053388,0.014373717,RAJOURI
2019,JAMMU AND KASHMIR ,1,SRINAGAR ,13,25,63548,33089,30459,10570,0.28,0.2,0.08,0.08,0.4,0.12,0,0.12,SRINAGAR
2019,JAMMU AND KASHMIR ,1,UDHAMPUR ,14,404,570762,298477,272285,106059,0.012376238,0.168316832,0.267326733,0.007425743,0.20049505,0.014851485,0.014851485,0.00990099,UDHAMPUR
2019,JAMMU AND KASHMIR ,1,KISHTWAR ,620,200,277968,146744,131224,66672,0.02,0.11,0.39,0.005,0.18,0.01,0.005,0.01,KISHTWAR
2019,JAMMU AND KASHMIR ,1,RAMBAN ,621,179,352482,188868,163614,69789,0.005586592,0.206703911,0.25698324,0.016759777,0.078212291,0.016759777,0.027932961,0.005586592,RAMBAN
2019,JAMMU AND KASHMIR ,1,KULGAM ,622,311,456491,243081,213410,78959,0.048231511,0.144694534,0.215434084,0.061093248,0.209003215,0.041800643,0,0.122186495,KULGAM
2019,JAMMU AND KASHMIR ,1,BANDIPORA ,623,212,577349,304352,272997,86069,0.033018868,0.099056604,0.476415094,0,0.504716981,0,0,0,BANDIPORA
2019,JAMMU AND KASHMIR ,1,SAMBA ,624,379,307309,160093,147216,61809,0.013192612,0.081794195,0.237467018,0.029023747,0.121372032,0.031662269,0.01055409,0.034300792,SAMBA
2019,JAMMU AND KASHMIR ,1,SHOPIAN ,625,227,274289,141173,133116,48530,0.044052863,0.079295154,0.110132159,0.052863436,0.211453744,0.026431718,0.008810573,0,SHOPIAN
2019,JAMMU AND KASHMIR ,1,GANDERBAL ,626,173,350136,184244,165892,54401,0.057803468,0.265895954,0.196531792,0.040462428,0.439306358,0.046242775,0,0.080924855,GANDERBAL
2019,JAMMU AND KASHMIR ,1,REASI ,627,292,504001,272475,231526,91711,0.01369863,0.106164384,0.304794521,0.01369863,0.089041096,0,0.010273973,0.006849315,REASI
2019,HIMACHAL PRADESH ,2,BILASPUR ,15,1025,437403,222893,214510,106861,0.026341463,0.067317073,0.115121951,0.096585366,0.175609756,0.106341463,0.082926829,0.044878049,BILASPUR
2019,HIMACHAL PRADESH ,2,CHAMBA ,16,1491,630848,318072,312776,140833,0.027498323,0.079812207,0.114017438,0.027498323,0.213279678,0.029510396,0.036217304,0.023474178,CHAMBA
2019,HIMACHAL PRADESH ,2,HAMIRPUR ,17,1749,560516,281453,279063,134729,0.026300743,0.079473985,0.09834191,0.108633505,0.174957118,0.121783877,0.125214408,0.051457976,HAMIRPUR
2019,HIMACHAL PRADESH ,2,KANGRA ,18,3692,1748514,893114,855400,424290,0.032773564,0.087757313,0.117280607,0.092091008,0.206392199,0.088028169,0.043607801,0.031148429,KANGRA
2019,HIMACHAL PRADESH ,2,KINNAUR ,19,610,98754,50171,48583,26092,0.024590164,0.049180328,0.062295082,0.02295082,0.136065574,0.027868852,0.026229508,0.027868852,KINNAUR
2019,HIMACHAL PRADESH ,2,KULLU ,20,452,470110,238958,231152,118012,0.039823009,0.14159292,0.207964602,0.046460177,0.442477876,0.044247788,0.039823009,0.048672566,KULLU
2019,HIMACHAL PRADESH ,2,LAHUL AND SPITI ,21,361,39800,19821,19979,7437,0.024930748,0.074792244,0.110803324,0.055401662,0.163434903,0.038781163,0.016620499,0.019390582,LAHAUL AND SPITI
2019,HIMACHAL PRADESH ,2,MANDI ,22,2851,1110906,561319,549587,299805,0.021396001,0.072956857,0.099263416,0.044896528,0.171168011,0.043493511,0.055068397,0.021746756,MANDI
2019,HIMACHAL PRADESH ,2,SHIMLA ,23,3075,721165,366584,354581,171528,0.020487805,0.083577236,0.066341463,0.03902439,0.124227642,0.034796748,0.06796748,0.018211382,SHIMLA
2019,HIMACHAL PRADESH ,2,SIRMAUR ,24,983,551996,285357,266639,118205,0.03051882,0.088504578,0.11698881,0.026449644,0.216683622,0.039674466,0.037639878,0.032553408,SIRMAUR
2019,HIMACHAL PRADESH ,2,SOLAN ,25,2471,534156,272557,261599,117828,0.015783084,0.047753946,0.078510724,0.051396196,0.08174828,0.05180089,0.084581141,0.043302307,SOLAN
2019,HIMACHAL PRADESH ,2,UNA ,26,842,575442,295281,280161,130982,0.066508314,0.104513064,0.133016627,0.098574822,0.344418052,0.103325416,0.188836105,0.070071259,UNA
2019,PUNJAB ,3,AMRITSAR ,27,933,1438423,759828,678595,263480,0.037513398,0.087888532,0.088960343,0.019292605,0.213290461,0.01607717,0.019292605,0.254019293,AMRITSAR
2019,PUNJAB ,3,BATHINDA ,28,319,873035,458929,414106,162712,0.062695925,0.141065831,0.278996865,0.02507837,0.504702194,0.018808777,0.037617555,0.037617555,BATHINDA
2019,PUNJAB ,3,FARIDKOT ,29,264,542203,289278,252925,100776,0.064393939,0.117424242,0.151515152,0.041666667,0.196969697,0.015151515,0.022727273,0.056818182,FARIDKOT
2019,PUNJAB ,3,FATEHGARH SAHIB ,30,447,428926,227962,200964,81788,0.020134228,0.143176734,0.071588367,0.033557047,0.147651007,0.015659955,0.064876957,0.105145414,FATEHGARH SAHIB
2019,PUNJAB ,3,FIROZEPUR ,31,882,941069,498553,442516,187129,0.038548753,0.094104308,0.047619048,0.009070295,0.105442177,0.009070295,0.023809524,0.098639456,FIROZPUR
2019,PUNJAB ,3,GURDASPUR ,32,1390,1487169,779003,708166,271703,0.028057554,0.071223022,0.050359712,0.037410072,0.133093525,0.035251799,0.012230216,0.033093525,GURDASPUR
2019,PUNJAB ,3,HOSHIARPUR ,33,1570,1414669,734373,680296,288771,0.033757962,0.047770701,0.114649682,0.040127389,0.09044586,0.021019108,0.022929936,0.066878981,HOSHIARPUR
2019,PUNJAB ,3,JALANDHAR ,34,1003,1175930,608388,567542,244441,0.036889332,0.071784646,0.086739781,0.021934197,0.134596211,0.023928215,0.11665005,0.033898305,JALANDHAR
2019,PUNJAB ,3,KAPURTHALA ,35,818,583294,305144,278150,115099,0.020782396,0.056234719,0.053789731,0.008557457,0.08190709,0.011002445,0.040342298,0.02200489,KAPURTHALA
2019,PUNJAB ,3,LUDHIANA ,36,1015,1778047,940093,837954,368939,0.062068966,0.118226601,0.180295567,0.01773399,0.255172414,0.022660099,0.144827586,0.095566502,LUDHIANA
2019,PUNJAB ,3,MANSA ,37,249,619237,328785,290452,119846,0.040160643,0.092369478,0.325301205,0.004016064,0.369477912,0.004016064,0,0.100401606,MANSA
2019,PUNJAB ,3,MOGA ,38,371,803351,424174,379177,155376,0.035040431,0.083557951,0.223719677,0.029649596,0.301886792,0.040431267,0.010781671,0.09703504,MOGA
2019,PUNJAB ,3,SRI MUKTSAR SAHIB ,39,274,840643,445750,394893,148434,0.065693431,0.069343066,0.277372263,0.018248175,0.357664234,0.010948905,0.01459854,0.054744526,SRI MUKTSAR SAHIB
2019,PUNJAB ,3,Shahid Bhagat Singh Nagar ,40,520,551330,284888,266442,112575,0.082692308,0.103846154,0.1,0.017307692,0.176923077,0.011538462,0.030769231,0.051923077,SHAHID BHAGAT SINGH NAGAR
2019,PUNJAB ,3,PATIALA ,41,1125,1357112,712444,644668,254121,0.031111111,0.051555556,0.112888889,0.016888889,0.131555556,0.016,0.048888889,0.052444444,PATIALA
2019,PUNJAB ,3,RUPNAGAR ,42,717,645588,338024,307564,120911,0.030683403,0.069735007,0.065550907,0.026499303,0.09902371,0.015341702,0.006973501,0.061366806,RUPNAGAR
2019,PUNJAB ,3,SANGRUR ,43,592,1322606,711780,610826,244945,0.209459459,0.138513514,0.175675676,0.02027027,0.403716216,0.018581081,0.069256757,0.099662162,SANGRUR
2019,PUNJAB ,3,BARNALA ,605,205,493765,267915,225850,93876,0.043902439,0.165853659,0.204878049,0.014634146,0.302439024,0.009756098,0.024390244,0.073170732,BARNALA
